numero;origine_numero;nature;type_organisation;denomination;sigle;objet;siege_social;telephone;declarant;bureau;date_document;qr_present;format;fichier_source;rang_dans_fichier
AS20250032;contenu;provisoire;association;"COORDINATION NATIONALE DES FEDERATIONS ARTISTIQUES ET CULTURELLES (CONAFAC)";;;Libreville;"066.68.32.24 / 077.96.43.01";"Monsieur Christian Mermance N'NANG NSOME de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250032 - RP -  Coordination Nationale des Fédérations Artistiques et Culturelles (CONAFAC).docx";1/1
AS20250033;contenu;provisoire;association;"ASSOCIATION DES PERSONNES HANDICAPEES D'AKANDA";;;Libreville;"066.07.24.01 / 077.76.63.60";"Monsieur Joseph BOUMBANDA de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250033 - RP -  Association des Personnes Handicapées d’Akanda.pdf";1/1
AS20250033;contenu;provisoire;association;"ASSOCIATION DES PERSONNES HANDICAPEES D'AKANDA";;;Libreville;"066.07.24.01 / 077.76.63.60";"Monsieur Joseph BOUMBANDA de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250033 - RP -  Association des Personnes Handicapées d’Akanda.docx";1/1
AS20250034;contenu;definitif;association;"VISION ET SOLIDARITE";;"Cette association à but non lucratif a pour objectif de promouvoir l'unité, l'entraide
et la solidarité entre les membres, en organisant des rencontres périodiques et une
assistance à ses membres ainsi que la protection des veuves et des orphelins";;074.40.83.77/074.40.83.77;;;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250034 - RD - Vision et Solidarité.pdf";1/1
AS20250034;contenu;definitif;association;"VISION ET SOLIDARITE";;"Cette association à but non lucratif a pour objectif de promouvoir l'unité, l'entraide et la solidarité entre les membres, en organisant des rencontres périodiques et une assistance à ses membres ainsi que la protection des veuves et des orphelins";;074.40.83.77/074.40.83.77;;;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250034 - RD - Vision et Solidarité.docx";1/1
AS20250035;contenu;definitif;association;"NZEMBI'LETONDE GABON";;"Cette association à but non lucratif a pour objectifs de faire des achats et des ventes
de matériels divers, organiser des manifestations publiques, des conférences, des
colloques ou publications ; soutenir le développement des localités à travers
l'implantation de la ferme en créant des activités r";;077.89.46.63;;;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250035 - RD - NZEMBI’LETONDE Gabon.pdf";1/1
AS20250035;contenu;definitif;association;"NZEMBI'LETONDE GABON";;"Cette association à but non lucratif a pour objectifs de faire des achats et des ventes de matériels divers, organiser des manifestations publiques, des conférences, des colloques ou publications ; soutenir le développement des localités à travers l'implantation de la ferme en créant des activités r";;077.89.46.63;;;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250035 - RD - NZEMBI’LETONDE Gabon.docx";1/1
AS20250036;contenu;provisoire;association;"ASSOCIATION NABESSEY";;;Libreville;"062.24.17.33 / 074.67.50.55";"Monsieur Karl Lionel Bertrant MAOULY LEKOUY de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250036 - RP -  Association Nabessey.docx";1/1
AS20250036;contenu;provisoire;association;"ASSOCIATION NABESSEY";;;Libreville;"062.24.17.33 / 074.67.50.55";"Monsieur Karl Lionel Bertrant MAOULY LEKOUY de nationalité";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250036 - RP -  Association Nabessey.pdf";1/1
AS20250037;contenu;provisoire;association;"ONG MAPANE FAMILLY";;;Libreville;"062.08.41.16 / 066.52.16.26";"Madame Caroline AMOGHE ATOMO de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250037 - RP -  ONG Mapane Familly.pdf";1/1
AS20250037;contenu;provisoire;association;"ONG MAPANE FAMILLY";;;Libreville;"062.08.41.16 / 066.52.16.26";"Madame Caroline AMOGHE ATOMO de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250037 - RP -  ONG Mapane Familly.docx";1/1
AS20250038;contenu;provisoire;association;"ASSOCIATION NADIA JOCKTANE ORGANISATION";;;Libreville;"062.66.54.11 / 065.50.65.65";"Madame Goncalves Carine MAKAYA de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250038 - RP -  Association Nadia Jocktane Organisation.pdf";1/1
AS20250038;contenu;provisoire;association;"ASSOCIATION NADIA JOCKTANE ORGANISATION";;;Libreville;"062.66.54.11 / 065.50.65.65";"Madame Goncalves Carine MAKAYA de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250038 - RP -  Association Nadia Jocktane Organisation.docx";1/1
AS20250039;contenu;provisoire;association;"ASSOCIATION GABONAISE SHOTOKAN-RYU KARATE-DO";;;Libreville;"077.54.14.18 / 066.86.68.69";"Monsieur Dominique MIKOMBA LIYINDA de nationalité";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250039 - RP -  Association Gabonaise Shotokan-Ryu Karaté-Do.pdf";1/1
AS20250039;contenu;provisoire;association;"ASSOCIATION GABONAISE SHOTOKAN-RYU KARATE-DO";;;Libreville;"077.54.14.18 / 066.86.68.69";"Monsieur Dominique MIKOMBA LIYINDA de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250039 - RP -  Association Gabonaise Shotokan-Ryu Karaté-Do.docx";1/1
AS20250040;contenu;provisoire;association;"ASSOCIATION NGOUNDJI";;;Moanda;"077.37.94.49 / 066.23.70.13";"Madame OUBAGNAGHA Amélie épse KONDJA de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250040 - RP -  Association Ngoundji.docx";1/1
AS20250040;contenu;provisoire;association;"ASSOCIATION NGOUNDJI";;;Moanda;"077.37.94.49 / 066.23.70.13";"Madame OUBAGNAGHA Amélie épse KONDJA de nationalité";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250040 - RP -  Association Ngoundji.pdf";1/1
AS20250041;contenu;provisoire;association;"ASSOCIATION MOABI MAKOULA";;;Mounongo;"077.99.24.86 / 076.28.75.02";"Monsieur Jules MBOMBE de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250041 - RP -  Association Moabi Makoula.pdf";1/1
AS20250041;contenu;provisoire;association;"ASSOCIATION MOABI MAKOULA";;;Mounongo;"077.99.24.86 / 076.28.75.02";"Monsieur Jules MBOMBE de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250041 - RP -  Association Moabi Makoula.docx";1/1
AS20250042;contenu;provisoire;association;"ASSOCIATION IGNIGHE NDZABI";;;Moupopa;"077.81.00.53 / 077.49.47.39";"Monsieur Paul IBALA de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250042 - RP -  Association Ignighe Ndzabi.docx";1/1
AS20250042;contenu;provisoire;association;"ASSOCIATION IGNIGHE NDZABI";;;Moupopa;"077.81.00.53 / 077.49.47.39";"Monsieur Paul IBALA de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250042 - RP -  Association Ignighe Ndzabi.pdf";1/1
AS20250043;contenu;provisoire;association;"ASSOCIATION ISSINGO MOABI";;;"Mouela Pove";"074.61.59.45 / 074.04.09.18";"Monsieur POATY POATY de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250043 - RP -  Association Issingo Moabi.pdf";1/1
AS20250043;contenu;provisoire;association;"ASSOCIATION ISSINGO MOABI";;;"Mouela Pove";"074.61.59.45 / 074.04.09.18";"Monsieur POATY POATY de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250043 - RP -  Association Issingo Moabi.docx";1/1
AS20250044;contenu;provisoire;association;"ASSOCIATION DIBWA";;;"Nioye 2";"074.69.09.03 / 074.62.69.09";"Madame Emilienne MOBOUASSE de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250045 - RP -  Association Dibwa.pdf";1/1
AS20250044;contenu;provisoire;association;"ASSOCIATION DIBWA";;;"Nioye 2";"074.69.09.03 / 074.62.69.09";"Madame Emilienne MOBOUASSE de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250045 - RP -  Association Dibwa.docx";1/1
AS20250044;contenu;provisoire;association;"ASSOCIATION MABONGO";;;"Nioye 1";066.15.08.33;"Madame Hélène MOUSSAVOU de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250044 - RP -  Association Mabongo.pdf";1/1
AS20250044;contenu;provisoire;association;"ASSOCIATION MABONGO";;;"Nioye 1";066.15.08.33;"Madame Hélène MOUSSAVOU de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250044 - RP -  Association Mabongo.docx";1/1
AS20250046;contenu;definitif;confession_religieuse;"CENTRE MISSIONNAIRE EL SHADDAÏ";;"La mission du Centre Missionnaire El-Shaddai est de prêcher l'évangile de Jésus Christ par l'organisation des cultes et des campagnes d'évangélisation dans des lieux publics et autres sur autorisation des autorités compétentes";;"066 85 22 13/074 02 95 93";;;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250046 - RD - Centre Missionnaire El Shaddaï.docx";1/1
AS20250046;contenu;definitif;confession_religieuse;"CENTRE MISSIONNAIRE EL SHADDAÏ";;"La mission du Centre Missionnaire El-Shaddai est de prêcher l'évangile de Jésus
Christ par l'organisation des cultes et des campagnes d'évangélisation dans des lieux
publics et autres sur autorisation des autorités compétentes";;"066 85 22";;;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250046 - RD - Centre Missionnaire El Shaddaï.pdf";1/1
AS20250047;contenu;definitif;association;"ÉGLISE PAROLE DE GRACE";;"La mission de l'Église Parole de Grace est de regrouper et de rassembler au nom de Jésus Christ, les hommes et les femmes de toute tribu, en vue de former une communauté de prière contribuant à l'édification de l'église du Christ et à l'expansion de l'Évangile";;"076 50 28 84/077 22 20 01";;;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250047 - RD - Église Parole de Grâce.docx";1/1
AS20250047;contenu;definitif;association;"ÉGLISE PAROLE DE GRACE";;"La mission de l'Église Parole de Grace est de regrouper et de rassembler au nom de
Jésus Christ, les hommes et les femmes de toute tribu, en vue de former une
communauté de prière contribuant à l'édification de l'église du Christ et à l'expansion
de l'Évangile";;"076 50 28 84/077 22 20 01";;;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250047 - RD - Église Parole de Grâce.pdf";1/1
AS20250048;contenu;definitif;association;"IMPACT CENTRE CHRETIEN";;"L'Impact Centre Chrétien a pour objet l'exercice du culte et toute activité qui s'y rattache directement ou indirectement, en enseignant la doctrine et la pratique de l'Évangile de Jésus-Christ";;"066 99 55 23/066 11 89 48";;;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250048 - RD - Impact Centre Chrétien.docx";1/1
AS20250048;contenu;definitif;association;"IMPACT CENTRE CHRETIEN";;"L'Impact Centre Chrétien a pour objet l'exercice du culte et toute activité qui s'y
rattache directement ou indirectement, en enseignant la doctrine et la pratique de
l'Évangile de Jésus-Christ";;"066 99 55 23/066 11 89";;;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250048 - RD - Impact Centre Chrétien.pdf";1/1
AS20250049;contenu;definitif;association;"JESUS-CHRIST EST LA REPONSE";J.C.R;"L'association Jésus Christ est la Réponse a pour but de propager l'Évangile, de contribuer ou de coordonner des actions d'entraides humanitaires";;"077 94 74 92/062 84 98 98";;;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250049 - RD - Jésus-Christ est la Réponse (J.C.R.).docx";1/1
